0, 0, Header, 1, 5, 1024
1, 0, Start_track
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 625000
1, 3072, Time_signature, 3, 2, 24, 8
1, 3072, Key_signature, 0, "major"
1, 6144, Time_signature, 3, 2, 24, 8
1, 6144, Key_signature, 0, "major"
1, 9216, Time_signature, 3, 2, 24, 8
1, 9216, Key_signature, 0, "major"
1, 12288, Time_signature, 3, 2, 24, 8
1, 12288, Key_signature, 0, "major"
1, 15360, Time_signature, 3, 2, 24, 8
1, 15360, Key_signature, 0, "major"
1, 18432, Time_signature, 3, 2, 24, 8
1, 18432, Key_signature, 0, "major"
1, 21504, Time_signature, 3, 2, 24, 8
1, 21504, Key_signature, 0, "major"
1, 24576, Time_signature, 3, 2, 24, 8
1, 24576, Key_signature, 0, "major"
1, 27648, Time_signature, 3, 2, 24, 8
1, 27648, Key_signature, 0, "major"
1, 30720, Time_signature, 3, 2, 24, 8
1, 30720, Key_signature, 0, "major"
1, 33792, Time_signature, 3, 2, 24, 8
1, 33792, Key_signature, 0, "major"
1, 36864, Time_signature, 3, 2, 24, 8
1, 36864, Key_signature, 0, "major"
1, 39936, Time_signature, 3, 2, 24, 8
1, 39936, Key_signature, 0, "major"
1, 43008, Time_signature, 3, 2, 24, 8
1, 43008, Key_signature, 0, "major"
1, 46080, Time_signature, 3, 2, 24, 8
1, 46080, Key_signature, 0, "major"
1, 49152, Time_signature, 3, 2, 24, 8
1, 49152, Key_signature, 0, "major"
1, 51200, End_track
2, 0, Start_track
2, 2048, Note_on_c, 0, 69, 64
2, 3072, Note_off_c, 0, 69, 0
2, 3072, Note_on_c, 0, 69, 64
2, 5120, Note_off_c, 0, 69, 0
2, 5120, Note_on_c, 0, 69, 64
2, 6144, Note_off_c, 0, 69, 0
2, 6144, Note_on_c, 0, 71, 64
2, 8192, Note_off_c, 0, 71, 0
2, 8192, Note_on_c, 0, 71, 64
2, 9216, Note_off_c, 0, 71, 0
2, 9216, Note_on_c, 0, 72, 64
2, 10240, Note_off_c, 0, 72, 0
2, 10240, Note_on_c, 0, 71, 64
2, 11264, Note_off_c, 0, 71, 0
2, 11264, Note_on_c, 0, 69, 64
2, 12288, Note_off_c, 0, 69, 0
2, 12288, Note_on_c, 0, 67, 64
2, 15360, Note_off_c, 0, 67, 0
2, 15360, Note_on_c, 0, 72, 64
2, 17408, Note_off_c, 0, 72, 0
2, 17408, Note_on_c, 0, 74, 64
2, 18432, Note_off_c, 0, 74, 0
2, 18432, Note_on_c, 0, 72, 64
2, 20480, Note_off_c, 0, 72, 0
2, 20480, Note_on_c, 0, 71, 64
2, 21504, Note_off_c, 0, 71, 0
2, 21504, Note_on_c, 0, 72, 64
2, 23552, Note_off_c, 0, 72, 0
2, 23552, Note_on_c, 0, 72, 64
2, 24576, Note_off_c, 0, 72, 0
2, 24576, Note_on_c, 0, 72, 64
2, 26624, Note_off_c, 0, 72, 0
2, 26624, Note_on_c, 0, 72, 64
2, 27648, Note_off_c, 0, 72, 0
2, 27648, Note_on_c, 0, 71, 64
2, 29696, Note_off_c, 0, 71, 0
